oldUrl,oldPath,newPath,type,confidence,needsReview,h1,sourceSitemap
"https://www.solarisfilms.it/approfondimenti/pellicole-per-vetri-comfort-sicurezza-privacy/","/approfondimenti/pellicole-per-vetri-comfort-sicurezza-privacy/","/blog/pellicole-per-vetri-comfort-sicurezza-privacy/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicola-antieffrazione-per-finestre-come-sceglierla/","/approfondimenti/pellicola-antieffrazione-per-finestre-come-sceglierla/","/blog/pellicola-antieffrazione-per-finestre-come-sceglierla/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-termoisolanti-per-vetri-in-inverno/","/approfondimenti/pellicole-termoisolanti-per-vetri-in-inverno/","/blog/pellicole-termoisolanti-per-vetri-in-inverno/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-spettroselettive-facciate-vetrate/","/approfondimenti/pellicole-spettroselettive-facciate-vetrate/","/blog/pellicole-spettroselettive-facciate-vetrate/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-riflettenti-vetri-esterni-quando-convengono/","/approfondimenti/pellicole-riflettenti-vetri-esterni-quando-convengono/","/blog/pellicole-riflettenti-vetri-esterni-quando-convengono/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/come-ridurre-il-calore-dalle-vetrate/","/approfondimenti/come-ridurre-il-calore-dalle-vetrate/","/blog/come-ridurre-il-calore-dalle-vetrate/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-satinate-per-vetri-bagno/","/approfondimenti/pellicole-satinate-per-vetri-bagno/","/blog/pellicole-satinate-per-vetri-bagno/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicola-privacy-per-vetri-ufficio/","/approfondimenti/pellicola-privacy-per-vetri-ufficio/","/blog/pellicola-privacy-per-vetri-ufficio/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/vetrofanie-decorative-per-uffici/","/approfondimenti/vetrofanie-decorative-per-uffici/","/blog/vetrofanie-decorative-per-uffici/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-riflettenti-per-facciate-continue/","/approfondimenti/pellicole-riflettenti-per-facciate-continue/","/blog/pellicole-riflettenti-per-facciate-continue/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/quanto-costa-installare-pellicole-per-vetri/","/approfondimenti/quanto-costa-installare-pellicole-per-vetri/","/blog/quanto-costa-installare-pellicole-per-vetri/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-vetri-riducono-davvero-raggi-uv/","/approfondimenti/pellicole-vetri-riducono-davvero-raggi-uv/","/blog/pellicole-vetri-riducono-davvero-raggi-uv/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/migliori-pellicole-antisolari-per-vetrate-grandi/","/approfondimenti/migliori-pellicole-antisolari-per-vetrate-grandi/","/blog/migliori-pellicole-antisolari-per-vetrate-grandi/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/quanto-dura-una-pellicola-per-vetri/","/approfondimenti/quanto-dura-una-pellicola-per-vetri/","/blog/quanto-dura-una-pellicola-per-vetri/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicola-antisfondamento-vs-vetro-stratificato/","/approfondimenti/pellicola-antisfondamento-vs-vetro-stratificato/","/blog/pellicola-antisfondamento-vs-vetro-stratificato/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/guida-pellicole-sicurezza-uni-en-12600/","/approfondimenti/guida-pellicole-sicurezza-uni-en-12600/","/blog/guida-pellicole-sicurezza-uni-en-12600/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-antiesplosione-per-vetri-sicurezza/","/approfondimenti/pellicole-antiesplosione-per-vetri-sicurezza/","/blog/pellicole-antiesplosione-per-vetri-sicurezza/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-antisolari-per-capannoni-industriali/","/approfondimenti/pellicole-antisolari-per-capannoni-industriali/","/blog/pellicole-antisolari-per-capannoni-industriali/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicola-satinata-per-porte-in-vetro/","/approfondimenti/pellicola-satinata-per-porte-in-vetro/","/blog/pellicola-satinata-per-porte-in-vetro/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/installazione-pellicole-antisolari-vetri-ufficio/","/approfondimenti/installazione-pellicole-antisolari-vetri-ufficio/","/blog/installazione-pellicole-antisolari-vetri-ufficio/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/come-migliorare-comfort-uffici-vetrati/","/approfondimenti/come-migliorare-comfort-uffici-vetrati/","/blog/come-migliorare-comfort-uffici-vetrati/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/guida-film-certificati-per-vetri/","/approfondimenti/guida-film-certificati-per-vetri/","/blog/guida-film-certificati-per-vetri/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-solari-o-tende-tecniche/","/approfondimenti/pellicole-solari-o-tende-tecniche/","/blog/pellicole-solari-o-tende-tecniche/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-sicurezza-sono-a-norma-scuole/","/approfondimenti/pellicole-sicurezza-sono-a-norma-scuole/","/blog/pellicole-sicurezza-sono-a-norma-scuole/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-antisolari-vs-vetri-basso-emissivi/","/approfondimenti/pellicole-antisolari-vs-vetri-basso-emissivi/","/blog/pellicole-antisolari-vs-vetri-basso-emissivi/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/preventivo-pellicole-vetri-in-24h/","/approfondimenti/preventivo-pellicole-vetri-in-24h/","/blog/preventivo-pellicole-vetri-in-24h/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/calcolo-risparmio-energetico-pellicole-solari/","/approfondimenti/calcolo-risparmio-energetico-pellicole-solari/","/blog/calcolo-risparmio-energetico-pellicole-solari/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/garanzia-decennale-pellicole-per-vetri/","/approfondimenti/garanzia-decennale-pellicole-per-vetri/","/blog/garanzia-decennale-pellicole-per-vetri/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-termoisolanti-per-infissi-esistenti/","/approfondimenti/pellicole-termoisolanti-per-infissi-esistenti/","/blog/pellicole-termoisolanti-per-infissi-esistenti/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicole-schermatura-solare-per-vetrate-sud/","/approfondimenti/pellicole-schermatura-solare-per-vetrate-sud/","/blog/pellicole-schermatura-solare-per-vetrate-sud/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/ridurre-abbagliamento-vetrate-senza-tende/","/approfondimenti/ridurre-abbagliamento-vetrate-senza-tende/","/blog/ridurre-abbagliamento-vetrate-senza-tende/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/guida-scelta-pellicole-per-scuole/","/approfondimenti/guida-scelta-pellicole-per-scuole/","/blog/guida-scelta-pellicole-per-scuole/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/migliori-film-sicurezza-vetrate-scuole/","/approfondimenti/migliori-film-sicurezza-vetrate-scuole/","/blog/migliori-film-sicurezza-vetrate-scuole/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/esempio-riduzione-consumi-con-pellicole/","/approfondimenti/esempio-riduzione-consumi-con-pellicole/","/blog/esempio-riduzione-consumi-con-pellicole/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/vetri-sicurezza-scuole/","/approfondimenti/vetri-sicurezza-scuole/","/blog/vetri-sicurezza-scuole/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/approfondimenti/pellicola-sicurezza-o-sostituzione-vetro/","/approfondimenti/pellicola-sicurezza-o-sostituzione-vetro/","/blog/pellicola-sicurezza-o-sostituzione-vetro/","article","high","false","Pellicole per vetri adesive","https://www.solarisfilms.it/post-sitemap.xml"
"https://www.solarisfilms.it/","/","/","home","high","false","Pellicole per vetri","https://www.solarisfilms.it/page-sitemap.xml"
"https://www.solarisfilms.it/pellicole-per-vetri/pellicole-per-vetri/faq/","/pellicole-per-vetri/pellicole-per-vetri/faq/","/faq/","faq","high","false","FAQ","https://www.solarisfilms.it/page-sitemap.xml"
